battery_sn,data_date,q,dischar_sum,soh_bms,soh_v1,cal_soh_v2,is_abnormal,vol_diff,soc_diff,battery_type,soh_fit,health_level,group_size,cal_soh_v2_rank,remaining_km
0PFBBDAKA008,20250601,460,113685.9,98.0,,,,,,,,,,,
0PFBBDARA008,20250601,460,283202.3,96.0,89.82,,,,,,,,,,
0PFBBDATA005,20250601,460,180796.1,98.0,92.36,,,,,,,,,,
0PFBBDB3A004,20250601,460,155058.1,98.0,,,,,,,,,,,
0PFBBDBYA036,20250601,460,262880.9,97.0,90.23,,,,,,,,,,
0PFBBDARA008,20250602,460,284011.7,96.0,88.26,,,,,,,,,,
0PFBBDATA005,20250602,460,181727.3,98.0,91.47,,,,,,,,,,
0PFBBDB3A004,20250602,460,155058.1,98.0,91.66,,,,,,,,,,
0PFBBDBYA036,20250602,460,263526.9,97.0,89.57,,,,,,,,,,
0PFBBDATA005,20250603,460,182817.8,98.0,91.81,,,,,,,,,,
0PFBBDB3A004,20250603,460,155058.1,98.0,,,,,,,,,,,
0PFBBDBYA036,20250603,460,264212.0,97.0,89.91,,,,,,,,,,
0PFBBDATA005,20250604,460,184124.9,98.0,92.35,,,,,,,,,,
0PFBBDB3A004,20250604,460,155058.1,98.0,,,,,,,,,,,
0PFBBDBXA010,20250604,460,282541.9,96.0,89.8,,,,,,,,,,
0PFBBDBYA036,20250604,460,265033.6,97.0,88.72,,,,,,,,,,
0PFBBD9CA001,20250605,460,132451.1,98.0,92.73,,,,,,,,,,
0PFBBDATA005,20250605,460,184983.5,98.0,91.62,,,,,,,,,,
0PFBBDB3A004,20250605,460,155058.1,98.0,,,,,,,,,,,
0PFBBDBXA010,20250605,460,283675.3,96.0,89.95,,,,,,,,,,
0PFBBDBYA036,20250605,460,265644.7,97.0,90.59,,,,,,,,,,
0PFBBDAKA008,20250606,460,116543.2,98.0,92.54,,,,,,,,,,
0PFBBDATA005,20250606,460,185461.0,98.0,91.59,,,,,,,,,,
0PFBBDB3A004,20250606,460,155533.2,98.0,92.59,,,,,,,,,,
0PFBBDBXA010,20250606,460,284557.6,96.0,90.05,,,,,,,,,,
0PFBBDBYA036,20250606,460,266572.6,97.0,89.47,,,,,,,,,,
0PFBBD9CA001,20250607,460,133733.5,98.0,92.81,,,,,,,,,,
0PFBBDAKA008,20250607,460,117112.9,98.0,113.21,,,,,,,,,,
0PFBBDB3A004,20250607,460,156150.8,98.0,93.51,,,,,,,,,,
0PFBBDBXA010,20250607,460,285464.4,96.0,89.64,,,,,,,,,,
0PFBBDBYA036,20250607,460,267199.6,97.0,90.55,,,,,,,,,,
0PFBBD9CA001,20250608,460,134155.3,98.0,92.84,,,,,,,,,,
0PFBBDAKA008,20250608,460,117112.9,98.0,93.12,,,,,,,,,,
0PFBBDB3A004,20250608,460,156266.0,98.0,,,,,,,,,,,
0PFBBDBYA036,20250608,460,267759.4,97.0,89.23,,,,,,,,,,
0PFBBDAKA008,20250609,460,117424.8,98.0,92.75,,,,,,,,,,
0PFBBDB3A004,20250609,460,156823.5,98.0,93.44,,,,,,,,,,
0PFBBDBYA036,20250609,460,268229.5,97.0,89.67,,,,,,,,,,
0PFBBD9CA001,20250610,460,135742.3,98.0,91.13,,,,,,,,,,
0PFBBD9HA002,20250610,460,124960.9,93.0,92.93,,,,,,,,,,
0PFBBD9NA006,20250610,460,240985.0,91.0,90.03,,,,,,,,,,
0PFBBD9SA003,20250610,460,140381.3,98.0,,,,,,,,,,,
0PFBBDA7A003,20250610,460,254807.5,98.0,90.49,,,,,,,,,,
0PFBBDA8A001,20250610,460,229488.2,98.0,89.54,,,,,,,,,,
0PFBBDACA002,20250610,460,229340.4,91.0,,,,,,,,,,,
0PFBBDACA003,20250610,460,247800.3,97.0,,,,,,,,,,,
0PFBBDAFA011,20250610,460,305505.1,97.0,90.02,,,,,,,,,,
0PFBBDAGA004,20250610,460,232640.2,98.0,91.37,,,,,,,,,,
0PFBBDAHA001,20250610,460,167440.9,98.0,92.44,,,,,,,,,,
0PFBBDAJA014,20250610,460,160106.5,98.0,,,,,,,,,,,
0PFBBDAKA008,20250610,460,117989.3,98.0,,,,,,,,,,,
0PFBBDAKA010,20250610,460,301307.7,90.0,89.52,,,,,,,,,,
0PFBBDARA005,20250610,460,214982.8,98.0,,,,,,,,,,,
0PFBBDARA006,20250610,460,278469.4,96.0,89.63,,,,,,,,,,
0PFBBDARA008,20250610,460,290750.3,96.0,89.04,,,,,,,,,,
0PFBBDATA005,20250610,460,190099.0,98.0,91.14,,,,,,,,,,
0PFBBDATA011,20250610,460,15080.2,100.0,,,,,,,,,,,
0PFBBDB1A008,20250610,460,307324.5,96.0,86.56,,,,,,,,,,
0PFBBDB1A019,20250610,460,242784.8,97.0,89.13,,,,,,,,,,
0PFBBDB2A005,20250610,460,200543.7,98.0,90.93,,,,,,,,,,
0PFBBDB2A016,20250610,460,113583.6,98.0,,,,,,,,,,,
0PFBBDB3A004,20250610,460,157561.9,98.0,92.87,,,,,,,,,,
0PFBBDB4A003,20250610,460,188362.4,98.0,,,,,,,,,,,
0PFBBDB4A006,20250610,460,135409.8,98.0,95.3,,,,,,,,,,
0PFBBDB4A010,20250610,460,184548.5,98.0,93.06,,,,,,,,,,
0PFBBDB5A010,20250610,460,136075.7,98.0,93.52,,,,,,,,,,
0PFBBDB5A012,20250610,460,112122.4,98.0,,,,,,,,,,,
0PFBBDB9A003,20250610,460,133121.2,98.0,93.36,,,,,,,,,,
0PFBBDB9A008,20250610,460,,,97.86,,,,,,,,,,
0PFBBDB9A013,20250610,460,130004.5,94.0,92.38,,,,,,,,,,
0PFBBDBBA002,20250610,460,327439.3,96.0,89.75,,,,,,,,,,
0PFBBDBEA031,20250610,460,192743.2,98.0,,,,,,,,,,,
0PFBBDBEA040,20250610,460,112737.1,98.0,93.56,,,,,,,,,,
0PFBBDBFA001,20250610,460,71374.0,99.0,96.33,,,,,,,,,,
0PFBBDBJA013,20250610,460,216615.4,98.0,,,,,,,,,,,
0PFBBDBSA057,20250610,460,99002.3,99.0,95.43,,,,,,,,,,
0PFBBDBVA006,20250610,460,227889.9,98.0,90.85,,,,,,,,,,
0PFBBDBXA010,20250610,460,285621.8,96.0,,,,,,,,,,,
0PFBBDBYA036,20250610,460,268689.0,97.0,89.07,,,,,,,,,,
0PFBBDC7A024,20250610,460,157326.2,98.0,92.05,,,,,,,,,,
0PFBBDC7A029,20250610,460,60320.4,99.0,,,,,,,,,,,
0PFBBDCBA011,20250610,460,197119.8,98.0,92.69,,,,,,,,,,
0PFBBDCBA013,20250610,460,,,,,,,,,,,,,
0PFBBDCCA021,20250610,460,191180.9,98.0,,,,,,,,,,,
0PFBBDCGA034,20250610,460,125768.5,98.0,91.51,,,,,,,,,,
0PFBBDCMA013,20250610,460,302550.3,96.0,88.45,,,,,,,,,,
0PFBBDCNA002,20250610,460,222723.8,98.0,93.41,,,,,,,,,,
0PFBBDCNA020,20250610,460,235313.1,97.0,,,,,,,,,,,
0PFBBDCNA022,20250610,460,239839.3,97.0,91.67,,,,,,,,,,
0PFBBDCNA025,20250610,460,226135.4,98.0,90.35,,,,,,,,,,
0PFBBDCNA038,20250610,460,218774.0,98.0,92.28,,,,,,,,,,
0PFBBDCVA010,20250610,460,113998.8,98.0,,,,,,,,,,,
0PFPBDCEA062,20250610,460,243077.0,91.0,90.73,,,,,,,,,,
0PFPBDCEA064,20250610,460,237195.3,91.0,91.05,,,,,,,,,,
0PFPBDCEA069,20250610,460,271715.7,90.0,92.33,,,,,,,,,,
0PFPBDCEA071,20250610,460,229689.5,98.0,91.61,,,,,,,,,,
0PFPBDCEA072,20250610,460,249839.2,92.0,92.16,,,,,,,,,,
0PFPBE13A006,20250610,460,255252.2,97.0,91.14,,,,,,,,,,
0PFPBE19A008,20250610,460,230914.7,98.0,90.92,,,,,,,,,,
0PFPBE2SA004,20250610,460,116582.9,98.0,,,,,,,,,,,
0PFPBE31A020,20250610,460,55461.8,99.0,,,,,,,,,,,
0PFPBE38A026,20250610,460,130083.9,98.0,,,,,,,,,,,
0PFPBE3CA002,20250610,460,126940.5,98.0,,,,,,,,,,,
0PFPBE3CA004,20250610,460,189487.9,98.0,96.02,,,,,,,,,,
0PFPBE3CA005,20250610,460,193181.0,98.0,90.8,,,,,,,,,,
0PFPBE4EA002,20250610,460,183977.4,98.0,,,,,,,,,,,
0PFPBE73A032,20250610,460,49227.8,99.0,,,,,,,,,,,
0PFPBE9TA002,20250610,460,85399.3,98.0,93.24,,,,,,,,,,
0PFBBD9CA001,20250611,460,136653.4,98.0,92.52,,,,,,,,,,
0PFBBD9HA002,20250611,460,125278.1,93.0,92.18,,,,,,,,,,
0PFBBD9NA006,20250611,460,241260.0,91.0,186.5,,,,,,,,,,
0PFBBD9SA003,20250611,460,140382.5,98.0,,,,,,,,,,,
0PFBBDA7A003,20250611,460,255715.7,98.0,90.59,,,,,,,,,,
0PFBBDA8A001,20250611,460,229980.7,98.0,89.67,,,,,,,,,,
0PFBBDACA002,20250611,460,229826.1,91.0,90.97,,,,,,,,,,
0PFBBDACA003,20250611,460,248157.6,97.0,,,,,,,,,,,
0PFBBDAFA011,20250611,460,306446.8,97.0,90.78,,,,,,,,,,
0PFBBDAGA004,20250611,460,233273.6,98.0,,,,,,,,,,,
0PFBBDAHA001,20250611,460,167622.5,98.0,90.75,,,,,,,,,,
0PFBBDAJA014,20250611,460,160112.1,98.0,,,,,,,,,,,
0PFBBDAKA008,20250611,460,117989.3,98.0,93.53,,,,,,,,,,
0PFBBDAKA010,20250611,460,301480.8,90.0,89.98,,,,,,,,,,
0PFBBDARA005,20250611,460,215470.9,98.0,90.71,,,,,,,,,,
0PFBBDARA006,20250611,460,278971.4,96.0,89.12,,,,,,,,,,
0PFBBDARA008,20250611,460,291697.2,96.0,89.68,,,,,,,,,,
0PFBBDATA005,20250611,460,191268.3,98.0,92.61,,,,,,,,,,
0PFBBDATA011,20250611,460,15789.9,100.0,98.16,,,,,,,,,,
0PFBBDB1A008,20250611,460,308155.0,96.0,,,,,,,,,,,
0PFBBDB1A019,20250611,460,243660.4,97.0,90.22,,,,,,,,,,
0PFBBDB2A005,20250611,460,200936.7,98.0,90.42,,,,,,,,,,
0PFBBDB2A016,20250611,460,114824.0,98.0,93.41,,,,,,,,,,
0PFBBDB3A004,20250611,460,158176.5,98.0,88.76,,,,,,,,,,
0PFBBDB4A003,20250611,460,188818.4,98.0,92.81,,,,,,,,,,
0PFBBDB4A006,20250611,460,135750.8,98.0,93.65,,,,,,,,,,
0PFBBDB4A010,20250611,460,185324.5,98.0,91.42,,,,,,,,,,
0PFBBDB5A010,20250611,460,136990.5,98.0,93.88,,,,,,,,,,
0PFBBDB5A012,20250611,460,112122.4,98.0,95.02,,,,,,,,,,
0PFBBDB9A003,20250611,460,133862.5,98.0,93.19,,,,,,,,,,
0PFBBDB9A008,20250611,460,,,98.78,,,,,,,,,,
0PFBBDB9A013,20250611,460,130334.9,94.0,93.38,,,,,,,,,,
0PFBBDBBA002,20250611,460,328053.2,96.0,89.87,,,,,,,,,,
0PFBBDBCA018,20250611,460,141256.9,98.0,92.99,,,,,,,,,,
0PFBBDBEA031,20250611,460,193159.2,98.0,,,,,,,,,,,
0PFBBDBEA040,20250611,460,112992.7,98.0,,,,,,,,,,,
0PFBBDBFA001,20250611,460,71738.5,99.0,,,,,,,,,,,
0PFBBDBJA013,20250611,460,216781.3,98.0,91.18,,,,,,,,,,
0PFBBDBSA057,20250611,460,99472.1,99.0,95.3,,,,,,,,,,
0PFBBDBVA006,20250611,460,228273.5,98.0,89.62,,,,,,,,,,
0PFBBDBXA010,20250611,460,285621.8,96.0,,,,,,,,,,,
0PFBBDBYA036,20250611,460,269352.5,97.0,89.31,,,,,,,,,,
0PFBBDC7A024,20250611,460,157464.7,98.0,,,,,,,,,,,
0PFBBDC7A029,20250611,460,60676.0,99.0,,,,,,,,,,,
