battery_type,version,dischar_sum,SOH
LHP284,1,0,100
LHP284,1,82928.24064,94.4
LHP284,1,162614.4307,92.4
LHP284,1,240807.5712,90.9
LHP284,1,317891.5891,89.8
LHP284,1,394037.1187,88.7
LHP284,1,469201.5014,87.5
LHP284,1,543470,86.6
LHP284,1,616971,85.7
LHP284,1,689661,84.7
LHP284,1,761583,83.9
LHP284,1,832706.4,82.83
LHP284,1,902879,81.67
LHP284,1,971918,80.17
LHP284,1,1039638,78.58
LHP284,1,1105928,76.82
LHP284,1,1170899,75.49
LHP284,1,1234736,74.16
LHP284,1,1297403,72.74
LHP284,1,1358936,71.5
LHP284,1,1419299,70
